source_split,row_index,utterance_id,speaker_id,label,route_split
train,0,Ses01F_impro01_F000,Ses01F,2,private
train,1,Ses01F_impro01_F001,Ses01F,2,private
train,2,Ses01F_impro01_F002,Ses01F,2,private
train,3,Ses01F_impro01_F005,Ses01F,2,private
train,4,Ses01F_impro01_F012,Ses01F,0,private
train,5,Ses01F_impro01_F014,Ses01F,2,private
train,6,Ses01F_impro01_M011,Ses01M,0,private
train,7,Ses01F_impro01_M013,Ses01M,0,private
train,8,Ses01F_impro02_F000,Ses01F,3,private
train,9,Ses01F_impro02_F001,Ses01F,3,private
train,10,Ses01F_impro02_F002,Ses01F,3,private
train,11,Ses01F_impro02_F003,Ses01F,2,private
train,12,Ses01F_impro02_F004,Ses01F,3,private
train,13,Ses01F_impro02_F005,Ses01F,3,private
train,14,Ses01F_impro02_F006,Ses01F,2,private
train,15,Ses01F_impro02_F008,Ses01F,3,private
train,16,Ses01F_impro02_F010,Ses01F,3,private
train,17,Ses01F_impro02_F012,Ses01F,3,private
train,18,Ses01F_impro02_F013,Ses01F,3,private
train,19,Ses01F_impro02_F014,Ses01F,3,private
train,20,Ses01F_impro02_F015,Ses01F,3,private
train,21,Ses01F_impro02_F016,Ses01F,2,private
train,22,Ses01F_impro02_F017,Ses01F,3,private
train,23,Ses01F_impro02_F018,Ses01F,2,private
train,24,Ses01F_impro02_F019,Ses01F,3,private
train,25,Ses01F_impro02_F020,Ses01F,3,private
train,26,Ses01F_impro02_M001,Ses01M,3,private
train,27,Ses01F_impro02_M005,Ses01M,3,private
train,28,Ses01F_impro02_M009,Ses01M,3,private
train,29,Ses01F_impro02_M010,Ses01M,3,private
train,30,Ses01F_impro02_M011,Ses01M,3,private
train,31,Ses01F_impro02_M012,Ses01M,2,private
train,32,Ses01F_impro02_M013,Ses01M,3,private
train,33,Ses01F_impro02_M014,Ses01M,3,private
train,34,Ses01F_impro02_M015,Ses01M,2,private
train,35,Ses01F_impro03_F000,Ses01F,1,private
train,36,Ses01F_impro03_F001,Ses01F,1,private
train,37,Ses01F_impro03_F002,Ses01F,1,private
train,38,Ses01F_impro03_F004,Ses01F,1,private
train,39,Ses01F_impro03_F005,Ses01F,1,private
train,40,Ses01F_impro03_F006,Ses01F,1,private
train,41,Ses01F_impro03_F008,Ses01F,1,private
train,42,Ses01F_impro03_F009,Ses01F,1,private
train,43,Ses01F_impro03_F010,Ses01F,1,private
train,44,Ses01F_impro03_F012,Ses01F,1,private
train,45,Ses01F_impro03_F013,Ses01F,1,private
train,46,Ses01F_impro03_F015,Ses01F,1,private
train,47,Ses01F_impro03_F016,Ses01F,1,private
train,48,Ses01F_impro03_F017,Ses01F,2,private
train,49,Ses01F_impro03_F018,Ses01F,2,private
train,50,Ses01F_impro03_F019,Ses01F,2,private
train,51,Ses01F_impro03_F021,Ses01F,1,private
train,52,Ses01F_impro03_F022,Ses01F,2,private
train,53,Ses01F_impro03_F023,Ses01F,2,private
train,54,Ses01F_impro03_F024,Ses01F,1,private
train,55,Ses01F_impro03_F025,Ses01F,1,private
train,56,Ses01F_impro03_F026,Ses01F,1,private
train,57,Ses01F_impro03_M000,Ses01M,2,private
train,58,Ses01F_impro03_M001,Ses01M,2,private
train,59,Ses01F_impro03_M003,Ses01M,1,private
train,60,Ses01F_impro03_M006,Ses01M,2,private
train,61,Ses01F_impro03_M007,Ses01M,1,private
train,62,Ses01F_impro03_M008,Ses01M,2,private
train,63,Ses01F_impro03_M009,Ses01M,2,private
train,64,Ses01F_impro03_M011,Ses01M,2,private
train,65,Ses01F_impro03_M013,Ses01M,1,private
train,66,Ses01F_impro03_M014,Ses01M,1,private
train,67,Ses01F_impro03_M015,Ses01M,1,private
train,68,Ses01F_impro03_M016,Ses01M,2,private
train,69,Ses01F_impro03_M019,Ses01M,2,private
train,70,Ses01F_impro03_M020,Ses01M,2,private
train,71,Ses01F_impro03_M021,Ses01M,2,private
train,72,Ses01F_impro03_M022,Ses01M,1,private
train,73,Ses01F_impro03_M023,Ses01M,1,private
train,74,Ses01F_impro03_M024,Ses01M,2,private
train,75,Ses01F_impro04_F000,Ses01F,2,private
train,76,Ses01F_impro04_F001,Ses01F,2,private
train,77,Ses01F_impro04_F005,Ses01F,2,private
train,78,Ses01F_impro04_F006,Ses01F,2,private
train,79,Ses01F_impro04_F009,Ses01F,2,private
train,80,Ses01F_impro04_F013,Ses01F,2,private
train,81,Ses01F_impro04_F014,Ses01F,2,private
train,82,Ses01F_impro04_F028,Ses01F,0,private
train,83,Ses01F_impro04_F029,Ses01F,0,private
train,84,Ses01F_impro04_F030,Ses01F,0,private
train,85,Ses01F_impro04_F031,Ses01F,0,private
train,86,Ses01F_impro04_F032,Ses01F,0,private
train,87,Ses01F_impro04_F033,Ses01F,0,private
train,88,Ses01F_impro04_M000,Ses01M,2,private
train,89,Ses01F_impro04_M001,Ses01M,2,private
train,90,Ses01F_impro04_M002,Ses01M,2,private
train,91,Ses01F_impro04_M003,Ses01M,2,private
train,92,Ses01F_impro04_M004,Ses01M,2,private
train,93,Ses01F_impro04_M005,Ses01M,2,private
train,94,Ses01F_impro04_M006,Ses01M,2,private
train,95,Ses01F_impro04_M007,Ses01M,2,private
train,96,Ses01F_impro04_M008,Ses01M,2,private
train,97,Ses01F_impro04_M009,Ses01M,2,private
train,98,Ses01F_impro04_M010,Ses01M,2,private
train,99,Ses01F_impro04_M011,Ses01M,2,private
train,100,Ses01F_impro04_M012,Ses01M,2,private
train,101,Ses01F_impro04_M013,Ses01M,2,private
train,102,Ses01F_impro04_M014,Ses01M,2,private
train,103,Ses01F_impro04_M015,Ses01M,2,private
train,104,Ses01F_impro04_M016,Ses01M,2,private
train,105,Ses01F_impro04_M017,Ses01M,2,private
train,106,Ses01F_impro04_M018,Ses01M,2,private
train,107,Ses01F_impro04_M019,Ses01M,2,private
train,108,Ses01F_impro04_M020,Ses01M,2,private
train,109,Ses01F_impro04_M021,Ses01M,2,private
train,110,Ses01F_impro04_M022,Ses01M,2,private
train,111,Ses01F_impro04_M023,Ses01M,2,private
train,112,Ses01F_impro04_M024,Ses01M,2,private
train,113,Ses01F_impro04_M025,Ses01M,2,private
train,114,Ses01F_impro04_M026,Ses01M,2,private
train,115,Ses01F_impro04_M027,Ses01M,2,private
train,116,Ses01F_impro04_M028,Ses01M,2,private
train,117,Ses01F_impro04_M031,Ses01M,2,private
train,118,Ses01F_impro04_M032,Ses01M,2,private
train,119,Ses01F_impro05_F008,Ses01F,0,private
